modelo_id,tipo,nombre,descripcion_general,specs,imagen_principal
iphone-12,iPhone,iPhone 12,"El iPhone 12 presenta diseño plano con Ceramic Shield, chip A14 Bionic y compatibilidad con 5G.","Chip A14 Bionic · Pantalla 6.1"" Super Retina XDR · Cámara 12MP · 5G · Face ID · MagSafe",https://store.storeimages.cdn-apple.com/4982/as-images.apple.com/is/iphone-12-red-select?wid=940&hei=1112&fmt=png-alpha
iphone-13-pro,iPhone,iPhone 13 Pro,"El iPhone 13 Pro lleva la experiencia Pro a un nuevo nivel con un sistema de cámara Pro de triple lente, chip A15 Bionic y pantalla Super Retina XDR con ProMotion.","Chip A15 Bionic · Pantalla 6.1"" Super Retina XDR ProMotion · Triple cámara 12MP · 5G · Face ID · iOS 17",https://store.storeimages.cdn-apple.com/4982/as-images.apple.com/is/iphone-13-pro-blue-select?wid=940&hei=1112&fmt=png-alpha
iphone-14,iPhone,iPhone 14,"El iPhone 14 ofrece el chip A15 Bionic, modo de acción y modo cinematográfico para videos de nivel profesional.","Chip A15 Bionic · Pantalla 6.1"" Super Retina XDR · Cámara 12MP · 5G · Face ID · iOS 17",https://store.storeimages.cdn-apple.com/4982/as-images.apple.com/is/iphone-14-midnight-select?wid=940&hei=1112&fmt=png-alpha
iphone-15-pro-max,iPhone,iPhone 15 Pro Max,"El iPhone 15 Pro Max presenta titanio de grado aeroespacial, chip A17 Pro y el botón de acción personalizable.","Chip A17 Pro · Pantalla 6.7"" Super Retina XDR ProMotion · Cámara 48MP · 5G · Face ID · USB-C",https://store.storeimages.cdn-apple.com/4982/as-images.apple.com/is/iphone-15-pro-max-naturaltitanium-select?wid=940&hei=1112&fmt=png-alpha
macbook-air-m2,Mac,MacBook Air M2,"El MacBook Air con chip M2 es increíblemente fino y potente, con hasta 18 horas de batería y pantalla Liquid Retina de 13.6"".","Chip M2 · Pantalla 13.6"" Liquid Retina · GPU 8 núcleos · Wi-Fi 6 · MagSafe · macOS",https://store.storeimages.cdn-apple.com/4982/as-images.apple.com/is/macbook-air-midnight-select-20220606?wid=904&hei=840&fmt=jpeg
macbook-pro-m3,Mac,MacBook Pro M3,"El MacBook Pro con chip M3 ofrece rendimiento profesional con pantalla Liquid Retina XDR y hasta 22 horas de batería.","Chip M3 · Pantalla 14.2"" Liquid Retina XDR · GPU 10 núcleos · Wi-Fi 6E · HDMI · SD Card",https://store.storeimages.cdn-apple.com/4982/as-images.apple.com/is/mbp14-spacegray-select-202310?wid=904&hei=840&fmt=jpeg
jbl-flip6,JBL,JBL Flip 6,"Parlante Bluetooth portátil con sonido potente y resistencia al agua IP67, ideal para llevar a todos lados.","Bluetooth 5.1 · Batería 12hs · IP67 · 30W RMS · USB-C · Efecto JBL Original Pro Sound",https://example.com/jbl-flip6.png
jbl-charge5,JBL,JBL Charge 5,"Parlante con batería de 20hs, powerbank integrado para cargar tu celular y sonido 360° de alta fidelidad.","Bluetooth 5.1 · Batería 20hs · Powerbank USB · IP67 · 40W RMS",https://example.com/jbl-charge5.png
ps5-dualsense,Joystick,Control PS5 DualSense,"Control oficial PlayStation 5 con vibración háptica avanzada y gatillos adaptativos para una experiencia inmersiva.","Compatible PS5 y PC · Vibración háptica · Gatillos adaptativos · Micrófono integrado · USB-C",https://example.com/dualsense.png
xbox-series,Joystick,Control Xbox Series,"Control oficial Xbox inalámbrico compatible con Xbox Series X/S, Xbox One y PC con Windows.","Bluetooth + USB-C · Compatible Xbox y PC · Pila AA · Texturas antideslizantes",https://example.com/xbox-series.png
